StateId,Year,NonRelative,FosterParent,StepParent,OtherRelative,Total,Missing
8,2014,15.5,78.6,0.0,6.0,84,0
9,2014,0.0,82.9,0.0,17.1,105,2
10,2014,22.7,27.0,.2,50.1,3165,102
11,2014,11.0,74.5,0.0,14.5,881,6
12,2014,3.3,40.5,1.7,54.5,121,0
13,2014,18.1,37.0,0.0,44.9,216,2
14,2014,4.9,59.1,.2,35.9,1065,551
15,2014,.9,58.3,0.0,40.7,845,5
16,2014,12.7,49.4,.7,37.2,860,18
17,2014,.7,52.1,0.0,47.2,695,0
18,2014,8.3,91.2,.1,.4,909,0
19,2014,3.1,53.1,0.0,43.9,622,0
20,2014,4.0,56.7,0.0,39.3,275,20
21,2014,2.9,80.5,.3,16.3,344,0
22,2014,0.0,99.3,0.0,.7,589,0
23,2014,65.5,4.1,.3,30.1,1579,605
24,2014,54.7,7.0,0.0,38.3,642,0
25,2014,.3,96.0,0.0,3.6,302,12
26,2014,6.3,58.6,.8,34.4,1277,14
27,2014,0.0,65.0,0.0,35.0,234,0
28,2014,0.0,64.2,.4,35.4,461,0
29,2014,.7,53.8,0.0,45.5,729,0
30,2014,0.0,64.2,0.0,35.8,106,14
31,2014,11.3,44.7,.1,43.8,1024,0
32,2014,0.0,68.6,0.0,31.4,315,0
33,2014,.8,76.2,0.0,22.9,1903,94
34,2014,3.5,66.5,.3,29.8,1173,3
35,2014,5.2,66.7,0.0,28.1,96,0
36,2014,22.1,72.1,0.0,5.8,1406,0
37,2014,7.2,52.1,0.0,40.7,1382,0
38,2014,8.0,48.8,0.0,43.3,830,17
39,2014,29.4,54.4,.1,16.1,1849,0
40,2014,0.0,92.1,0.0,7.9,76,126
41,2014,23.8,72.4,0.0,3.8,449,0
42,2014,3.8,57.2,0.0,39.0,159,0
43,2014,0.0,80.7,.2,19.1,1161,0
44,2014,19.6,37.3,.2,43.0,5221,0
45,2014,23.0,38.4,.2,38.4,604,1
46,2014,0.0,54.3,0.0,45.7,164,0
47,2014,3.5,88.6,.2,7.8,632,0
48,2014,5.5,54.4,0.0,40.0,507,855
49,2014,1.4,64.3,0.0,34.3,852,0
50,2014,0.0,98.4,0.0,1.6,735,0
51,2014,2.7,65.3,1.3,30.7,75,0
52,2014,54.5,9.1,0.0,36.4,11,0
1,2015,2.6,96.6,0.0,.8,494,18
2,2015,5.4,44.8,0.0,49.9,353,4
3,2015,27.9,21.9,.2,50.1,3234,2
4,2015,22.3,58.5,.1,19.1,740,0
5,2015,4.3,52.1,.1,43.5,6069,10
6,2015,2.6,57.4,.5,39.5,820,0
7,2015,54.0,18.1,1.8,26.1,568,5
8,2015,8.9,88.6,0.0,2.5,79,0
9,2015,0.0,78.8,0.0,21.2,104,2
10,2015,23.9,26.9,.1,49.1,3315,116
11,2015,13.5,71.9,0.0,14.6,912,0
12,2015,10.8,31.3,0.0,58.0,176,0
13,2015,18.5,45.0,0.0,36.5,222,1
14,2015,4.9,56.7,0.0,38.4,1788,0
15,2015,1.3,54.4,0.0,44.3,1149,3
16,2015,7.7,45.8,.1,46.4,1012,5
17,2015,1.5,54.5,0.0,43.9,783,0
18,2015,7.7,90.7,0.0,1.6,961,0
19,2015,1.8,59.9,0.0,38.3,661,1
20,2015,4.8,52.1,.3,42.8,313,15
21,2015,.7,78.8,0.0,20.5,293,1
22,2015,0.0,99.5,0.0,.5,623,0
23,2015,84.4,3.3,0.0,12.2,1772,0
24,2015,47.3,4.9,.1,47.6,735,0
25,2015,0.0,94.4,1.0,4.7,301,11
26,2015,6.5,61.7,.3,31.5,1332,25
27,2015,0.0,55.8,.6,43.5,310,0
28,2015,.2,58.7,.6,40.5,533,0
29,2015,3.9,49.7,0.0,46.4,799,0
30,2015,0.0,75.9,0.0,24.1,116,2
31,2015,10.7,46.4,0.0,42.9,1068,4
32,2015,3.7,54.2,0.0,42.0,295,0
33,2015,1.6,75.4,.1,22.9,1890,43
34,2015,4.1,70.2,.3,25.4,1307,4
35,2015,10.5,63.2,0.0,26.3,133,0
36,2015,17.4,75.8,.1,6.7,1334,0
37,2015,5.7,47.6,0.0,46.7,2159,0
38,2015,14.4,35.9,0.0,49.7,833,2
39,2015,19.9,66.0,.1,14.0,1832,0
40,2015,3.5,91.2,0.0,5.3,57,154
41,2015,25.3,72.2,0.0,2.5,403,0
42,2015,1.7,65.3,0.0,33.1,121,0
43,2015,1.7,83.2,0.0,15.1,1112,1
44,2015,18.4,40.4,.1,41.1,5457,0
45,2015,24.7,35.2,0.0,40.1,653,42
46,2015,0.0,51.9,0.0,48.1,189,0
47,2015,1.2,94.7,0.0,4.1,562,0
48,2015,3.0,56.5,0.0,40.5,689,795
49,2015,.6,57.3,0.0,42.1,893,0
50,2015,.3,98.1,0.0,1.6,643,0
51,2015,0.0,74.3,0.0,25.7,74,0
52,2015,36.8,31.6,10.5,21.1,19,0
1,2016,2.3,97.5,0.0,.2,479,24
2,2016,1.0,46.9,0.0,52.1,309,4
3,2016,23.5,24.4,.1,52.0,3650,4
4,2016,19.3,62.1,0.0,18.6,758,0
5,2016,4.2,51.3,.2,44.4,6528,14
6,2016,2.9,58.2,0.0,39.0,839,0
7,2016,63.3,9.1,4.5,23.1,529,0
8,2016,9.1,78.8,0.0,12.1,99,0
9,2016,0.0,89.6,0.0,10.4,106,4
10,2016,22.4,28.3,.0,49.2,3491,82
11,2016,11.2,72.2,0.0,16.6,1117,4
12,2016,4.7,33.3,0.0,62.0,129,0
13,2016,19.7,37.1,0.0,43.3,178,7
14,2016,5.6,55.7,.1,38.7,1543,3
15,2016,1.0,50.5,0.0,48.5,1531,5
16,2016,9.7,44.3,0.0,46.1,983,9
17,2016,2.9,46.0,0.0,51.1,870,0
18,2016,5.5,94.1,0.0,.4,1104,0
19,2016,1.4,69.7,.6,28.3,501,226
20,2016,5.1,55.9,0.0,39.0,372,27
21,2016,2.2,83.7,0.0,14.0,356,5
22,2016,0.0,99.6,0.0,.4,669,0
23,2016,78.7,6.7,0.0,14.6,2078,0
24,2016,35.7,14.8,.2,49.3,897,2
25,2016,.3,97.4,0.0,2.3,389,11
26,2016,7.8,60.1,.1,32.0,1566,25
27,2016,0.0,60.0,0.0,40.0,260,0
28,2016,0.0,58.2,.6,41.2,483,0
29,2016,4.5,50.5,0.0,45.0,796,0
30,2016,0.0,72.9,0.0,27.1,85,0
31,2016,8.1,46.9,0.0,45.0,1180,5
32,2016,2.3,67.0,0.0,30.7,306,0
33,2016,2.1,80.1,.1,17.8,1948,35
34,2016,2.6,69.4,.1,27.9,1499,2
35,2016,2.3,78.8,0.0,18.9,132,0
36,2016,18.6,74.0,0.0,7.4,1449,0
37,2016,5.4,48.5,0.0,46.2,2487,0
38,2016,19.0,39.4,0.0,41.6,759,9
39,2016,25.8,58.6,.2,15.5,1917,0
40,2016,1.1,93.2,0.0,5.7,88,191
41,2016,26.6,71.6,0.0,1.8,433,0
42,2016,10.9,62.7,0.0,26.4,110,0
43,2016,2.7,81.1,0.0,16.2,1224,0
44,2016,19.7,41.7,.1,38.5,5723,0
45,2016,24.6,37.2,.5,37.8,627,5
46,2016,0.0,55.1,0.0,44.9,216,0
47,2016,.3,93.9,0.0,5.7,627,0
48,2016,2.7,58.3,0.0,39.0,628,759
49,2016,.3,58.4,0.0,41.3,940,0
50,2016,.1,99.3,0.0,.6,669,0
51,2016,1.1,73.0,0.0,25.8,89,0
