StateId,Year,Yes,No,Total,Missing
33,2014,1.5,98.5,1997,0
33,2015,1.0,99.0,1933,0
33,2016,.5,99.5,1983,0
34,2012,100.0,0.0,1325,4
34,2013,99.9,.1,1221,1
34,2014,97.3,2.7,1170,6
34,2015,97.3,2.7,1311,0
34,2016,97.2,2.8,1499,2
35,2012,72.3,27.7,155,0
35,2013,97.1,2.9,104,0
35,2014,100.0,0.0,96,0
35,2015,100.0,0.0,133,0
35,2016,99.2,.8,132,0
36,2012,76.0,24.0,782,468
36,2013,98.2,1.8,1244,0
36,2014,98.2,1.8,1406,0
36,2015,98.5,1.5,1334,0
36,2016,94.3,5.7,1449,0
37,2012,89.6,10.4,1533,0
37,2013,93.2,6.8,1286,0
37,2014,92.3,7.7,1382,0
37,2015,96.6,3.4,2159,0
37,2016,94.0,6.0,2487,0
38,2012,99.4,.6,646,37
38,2013,100.0,0.0,768,0
38,2014,99.9,.1,847,0
38,2015,99.5,.5,835,0
38,2016,100.0,0.0,768,0
39,2012,86.4,13.6,1881,0
39,2013,89.4,10.6,1892,0
39,2014,88.5,11.5,1849,0
39,2015,90.2,9.8,1832,0
39,2016,88.9,11.1,1917,0
40,2012,83.8,16.2,191,0
40,2013,88.3,11.7,162,0
40,2014,88.1,11.9,202,0
40,2015,91.9,8.1,211,0
40,2016,90.3,9.7,279,0
41,2012,98.7,1.3,776,0
41,2013,97.8,2.2,506,0
41,2014,97.6,2.4,449,0
41,2015,95.5,4.5,403,0
41,2016,98.2,1.8,433,0
42,2012,100.0,0.0,126,0
42,2013,100.0,0.0,177,0
42,2014,100.0,0.0,159,0
42,2015,100.0,0.0,121,0
42,2016,100.0,0.0,110,0
43,2012,44.2,55.8,813,0
43,2013,53.9,46.1,1159,0
43,2014,52.9,47.1,1161,0
43,2015,75.8,24.2,1094,19
43,2016,96.6,3.4,1223,1
44,2012,87.9,12.1,5039,0
44,2013,87.2,12.8,5443,0
44,2014,86.9,13.1,5221,0
44,2015,85.1,14.9,5457,0
44,2016,84.4,15.6,5723,0
45,2012,99.8,.2,562,0
45,2013,98.0,2.0,587,0
45,2014,98.7,1.3,605,0
45,2015,98.6,1.4,695,0
45,2016,97.9,2.1,632,0
46,2012,100.0,0.0,172,0
46,2013,100.0,0.0,179,0
46,2014,100.0,0.0,164,0
46,2015,100.0,0.0,189,0
46,2016,100.0,0.0,216,0
47,2012,71.1,28.9,602,37
47,2013,67.0,33.0,603,106
47,2014,66.3,33.7,481,151
47,2015,51.9,48.1,428,134
47,2016,48.0,52.0,492,135
48,2012,100.0,0.0,1211,16
48,2013,100.0,0.0,1306,22
48,2014,100.0,0.0,1343,19
48,2015,100.0,0.0,1469,15
48,2016,100.0,0.0,1387,0
49,2012,100.0,0.0,621,11
49,2013,100.0,0.0,873,4
49,2014,100.0,0.0,849,3
49,2015,100.0,0.0,891,2
49,2016,100.0,0.0,939,1
50,2012,100.0,0.0,754,7
50,2013,100.0,0.0,790,10
50,2014,100.0,0.0,726,9
50,2015,100.0,0.0,639,4
50,2016,100.0,0.0,668,1
