StateId,Year,Tpr_LT_1Mo,Tpr_1_to_5Mo,Tpr_6_to_11Mo,Tpr_12_to_17Mo,Tpr_18_to_23Mo,Tpr_24_to_29Mo,Tpr_30_to_35Mo,Tpr_3_to_4YR,Tpr_MT_5YR,Total,Missing,Mean,Meridian
9,2013,9.3,68.2,11.2,1.9,0.0,3.7,0.0,2.8,2.8,107,3,7.7,3
10,2013,.3,41.7,31.5,12.4,5.7,2.3,1.3,2.8,2.0,3363,54,10.8,6
11,2013,.5,31.8,36.6,11.8,6.9,4.4,2.5,4.5,1.0,1000,31,11.9,8
12,2013,2.5,42.8,19.5,20.1,3.1,3.1,1.3,3.1,4.4,159,1,12.7,7
13,2013,.5,47.6,32.5,7.3,6.3,1.9,0.0,1.5,2.4,206,0,9.9,6
14,2013,2.3,6.7,30.7,25.2,12.8,8.7,4.1,7.3,2.3,1321,35,17.8,14
15,2013,10.8,23.9,25.0,17.4,7.8,3.9,2.9,5.8,2.5,877,84,13.5,9
16,2013,.3,37.9,43.5,10.9,3.4,2.0,.7,.7,.6,881,36,8.7,7
17,2013,.1,15.3,34.9,20.9,13.4,7.7,2.8,3.7,1.2,674,0,14.8,11
18,2013,.4,29.4,38.8,15.9,5.8,3.1,2.4,3.1,1.1,797,0,11.5,8
19,2013,0.0,22.8,45.8,16.3,7.0,4.0,2.5,.5,1.1,731,0,11.2,8
20,2013,0.0,7.7,40.7,32.5,9.1,5.3,2.4,2.4,0.0,209,5,13.3,12
21,2013,3.1,61.5,15.0,10.8,1.9,1.5,1.2,1.9,3.1,260,95,9.8,4
22,2013,0.0,24.1,33.1,14.7,7.5,5.4,4.9,6.7,3.5,791,8,16.3,10
23,2013,.1,19.8,40.7,21.2,6.9,3.4,2.7,3.7,1.5,2363,11,13.1,10
24,2013,0.0,13.6,39.5,24.1,7.2,5.0,4.7,4.8,1.0,580,3,14.4,11
25,2013,1.1,39.8,27.6,13.1,4.0,6.8,3.4,3.4,.9,352,0,11.4,7
26,2013,30.9,40.5,15.0,6.9,2.6,.4,.9,.7,2.0,1214,19,6.6,3
27,2013,3.8,14.1,33.3,22.4,9.0,7.7,5.1,1.9,2.6,156,9,14.7,11
28,2013,14.0,41.9,23.9,12.0,3.5,2.1,.7,1.4,.5,573,13,7.5,5
29,2013,1.0,31.1,37.7,13.0,8.7,2.8,2.0,2.9,.8,714,15,11.3,8
30,2013,0.0,48.6,41.0,3.8,3.8,0.0,0.0,1.9,1.0,105,5,7.2,6
31,2013,1.4,30.1,36.3,12.9,9.0,5.8,2.0,1.0,1.4,919,8,11.6,8
32,2013,1.0,27.7,26.1,19.4,13.9,3.2,2.3,4.8,1.6,310,0,14.0,11
33,2013,0.0,24.1,31.4,17.4,11.3,5.8,2.8,5.0,2.1,2149,35,14.7,10
34,2013,3.4,37.5,32.1,14.7,4.4,2.6,1.9,2.5,1.0,1221,1,10.0,7
35,2013,0.0,24.5,40.2,27.5,2.0,1.0,2.9,2.0,0.0,102,2,10.7,9
36,2013,1.1,28.2,33.8,16.7,7.9,3.5,3.3,3.2,2.3,1242,2,13.1,9
37,2013,2.9,27.1,36.6,15.1,6.4,3.2,2.4,3.9,2.4,1280,6,12.6,8
38,2013,0.0,5.0,35.9,29.7,16.5,6.5,3.4,2.0,1.0,764,4,15.4,13
39,2013,.8,41.5,36.8,11.6,3.9,2.3,1.2,1.4,.6,1885,7,8.8,7
40,2013,70.8,13.7,5.0,2.5,.6,1.9,.6,1.9,3.1,161,1,5.2,0
41,2013,2.8,35.2,29.1,12.9,5.7,3.0,4.2,5.1,2.0,505,1,12.1,7
42,2013,1.7,11.4,33.1,26.9,11.4,6.9,2.9,3.4,2.3,175,2,16.2,12
43,2013,11.6,56.4,17.5,8.1,3.7,1.1,.7,.8,.1,1113,46,5.8,3
44,2013,.0,19.5,34.8,20.2,10.5,5.1,2.9,4.5,2.6,5439,4,15.2,11
45,2013,8.1,63.2,17.2,6.4,1.7,.7,.2,1.9,.7,581,6,6.0,3
46,2013,0.0,52.0,35.8,8.4,2.2,0.0,.6,.6,.6,179,0,7.0,5
47,2013,0.0,18.7,30.7,20.8,13.3,6.9,3.0,4.7,2.0,707,2,15.2,12
48,2013,.8,37.0,34.5,14.5,5.6,2.8,2.2,2.3,.3,1323,5,9.9,7
49,2013,.2,6.6,38.3,32.7,12.6,5.0,2.3,1.7,.6,866,11,13.9,12
50,2013,.6,52.0,28.2,10.2,4.3,2.7,.8,.6,.5,783,17,8.0,5
51,2013,9.3,64.0,9.3,10.5,4.7,1.2,1.2,0.0,0.0,86,0,5.2,3
52,2013,10.5,5.3,0.0,21.1,15.8,10.5,5.3,21.1,10.5,19,0,27.9,23
1,2014,2.2,52.2,16.2,12.6,5.5,4.9,.4,3.6,2.4,548,0,10.7,4
2,2014,18.5,39.2,18.5,11.4,4.9,2.5,1.4,1.9,1.6,367,0,8.7,4
3,2014,.2,28.1,50.1,13.2,4.1,2.2,.7,1.2,.3,3044,46,9.4,8
4,2014,.8,38.6,33.2,13.7,5.7,2.3,1.5,2.7,1.5,743,0,10.5,7
5,2014,.9,26.7,38.7,20.4,7.8,2.6,1.2,1.3,.4,5443,28,10.5,9
6,2014,.6,29.1,35.6,17.7,6.4,4.7,.6,2.9,2.4,717,52,12.8,8
7,2014,1.4,38.4,37.7,10.5,4.7,2.5,1.2,2.3,1.2,485,21,9.9,6
8,2014,0.0,34.5,40.5,15.5,1.2,6.0,0.0,2.4,0.0,84,0,9.5,8
9,2014,12.5,61.5,11.5,1.9,8.7,0.0,0.0,0.0,3.8,104,3,7.9,3
10,2014,.4,39.2,33.6,13.9,5.6,2.9,1.3,1.9,1.2,3180,87,10.3,7
11,2014,.8,24.1,37.1,19.2,7.5,5.6,1.6,2.8,1.2,854,33,12.6,9
12,2014,10.7,32.2,33.1,13.2,2.5,.8,2.5,1.7,3.3,121,0,11.6,6
13,2014,.5,32.4,41.7,18.1,4.2,2.3,0.0,.9,0.0,216,2,9.1,8
14,2014,.6,5.4,27.6,28.4,16.1,8.2,4.9,6.3,2.5,1571,45,18.5,15
15,2014,14.5,21.0,28.2,14.7,10.7,3.2,2.2,4.7,.6,801,49,11.5,8
16,2014,.4,36.4,41.5,13.3,4.1,2.0,.1,1.6,.6,854,24,9.0,7
17,2014,1.2,9.6,39.7,22.4,12.4,6.8,2.7,1.7,3.5,695,0,15.7,11
