StateId,Year,Married,UnMarried,SingleFemale,SingleMale,Total,Missing
7,2014,68.6,5.2,24.4,1.8,500,6
8,2014,85.7,1.2,13.1,0.0,84,0
9,2014,38.3,0.0,50.5,11.2,107,0
10,2014,59.8,4.0,31.7,4.5,3218,49
11,2014,74.0,0.0,22.4,3.6,881,6
12,2014,63.6,1.7,25.6,9.1,121,0
13,2014,71.1,2.3,20.6,6.0,218,0
14,2014,59.1,1.5,35.5,4.0,1616,0
15,2014,69.4,5.5,23.6,1.5,844,6
16,2014,73.5,1.2,20.4,4.8,827,51
17,2014,73.7,4.9,19.5,1.9,688,7
18,2014,77.0,0.0,19.8,3.2,909,0
19,2014,65.8,2.3,30.8,1.1,620,2
20,2014,81.4,4.5,13.4,.7,291,4
21,2014,66.5,4.1,28.5,.9,340,4
22,2014,64.5,10.2,23.7,1.5,586,3
23,2014,48.5,17.0,30.0,4.6,2144,40
24,2014,73.5,5.8,19.4,1.3,635,7
25,2014,70.3,.3,28.1,1.3,313,1
26,2014,73.7,2.9,19.7,3.7,1271,20
27,2014,85.0,2.6,11.5,.9,234,0
28,2014,67.0,2.2,27.0,3.8,452,9
29,2014,56.1,1.9,36.6,5.3,729,0
30,2014,84.2,0.0,14.2,1.7,120,0
31,2014,54.3,4.4,37.4,3.8,1016,8
32,2014,77.8,6.7,13.0,2.5,315,0
33,2014,48.9,3.3,45.3,2.4,1903,94
34,2014,69.7,0.0,26.9,3.4,1176,0
35,2014,79.2,1.0,17.7,2.1,96,0
36,2014,74.3,4.8,19.5,1.4,1400,6
37,2014,73.7,0.0,23.7,2.5,1382,0
38,2014,73.5,6.6,17.3,2.6,846,1
39,2014,66.3,4.6,27.4,1.7,1849,0
40,2014,61.4,8.4,28.7,1.5,202,0
41,2014,75.5,.9,20.9,2.7,449,0
42,2014,76.7,7.5,15.1,.6,159,0
43,2014,79.8,.6,16.4,3.2,1121,40
44,2014,66.6,1.7,28.7,3.1,5150,71
45,2014,87.9,.2,11.1,.8,605,0
46,2014,62.8,10.4,24.4,2.4,164,0
47,2014,82.8,0.0,16.6,.6,621,11
48,2014,72.3,5.7,19.9,2.2,1302,60
49,2014,77.9,5.7,14.8,1.7,831,21
50,2014,74.2,.4,22.9,2.5,726,9
51,2014,69.3,1.3,25.3,4.0,75,0
52,2014,81.8,9.1,0.0,9.1,11,0
1,2015,81.9,0.0,15.6,2.6,508,4
2,2015,75.5,1.7,20.5,2.3,351,6
3,2015,60.3,.6,34.8,4.3,3038,198
