StateId,Year,NativeAmerican,Asian,Black,PacificIslander,Hispanic,White,Unknown,Multiracial,Total,Missing
17,2013,1.0,.1,20.2,0.1,10.5,59.3,0.0,8.6,674,0
18,2013,.0,.0,9.8,.0,6.6,76.0,2.8,4.8,797,0
19,2013,.0,.0,32.4,0.0,1.8,59.0,1.0,5.9,731,0
20,2013,1.9,0.5,0.5,0.0,19.2,58.4,12.1,7.5,214,0
21,2013,0.0,0.3,47.9,0.0,6.8,36.6,3.7,4.8,355,0
22,2013,0.6,1.8,13.1,0.0,23.3,48.2,4.6,8.4,799,0
23,2013,0.6,.1,27.9,.0,6.2,53.2,.0,11.9,2374,0
24,2013,8.1,3.3,17.7,0.0,13.0,46.5,.7,10.8,583,0
25,2013,0.0,1.1,45.5,0.0,2.6,45.2,.6,5.1,352,0
26,2013,.6,.1,22.3,.1,3.4,70.4,1.6,1.5,1233,0
27,2013,18.8,0.0,.0,0.0,6.7,57.6,.0,17.0,165,0
28,2013,4.6,0.3,20.6,0.5,11.6,54.8,1.7,5.8,586,0
29,2013,0.4,.8,24.0,.1,23.0,45.3,.1,6.2,729,0
30,2013,0.0,0.0,2.8,0.0,7.3,87.2,0.0,2.8,109,1
31,2013,0.0,.0,42.0,0.0,21.3,28.5,2.7,5.6,927,0
32,2013,4.5,.0,2.9,.6,59.7,31.0,0.0,1.3,310,0
33,2013,.1,.3,44.5,0.0,16.9,24.3,10.1,3.8,2184,0
34,2013,1.3,0.1,30.8,0.0,6.1,49.2,0.1,12.5,1222,0
35,2013,24.0,.0,0.0,.0,5.8,53.8,0.0,16.3,104,0
36,2013,0.0,0.2,19.6,0.0,6.4,62.4,.2,11.1,1243,1
37,2013,10.2,.4,11.4,0.0,17.4,38.3,0.0,22.3,1286,0
38,2013,1.2,.0,5.3,.8,16.8,51.0,3.6,21.2,768,0
39,2013,.1,.3,29.4,0.0,13.3,49.8,0.8,6.4,1892,0
40,2013,1.2,2.5,12.3,0.0,25.9,42.6,1.2,14.2,162,0
41,2013,.0,0.0,38.1,0.0,6.5,46.2,.2,8.9,506,0
42,2013,36.7,.0,4.0,0.0,10.7,38.4,0.0,10.2,177,0
43,2013,0.0,0.0,9.4,0.0,7.7,77.6,0.7,4.7,1159,0
44,2013,.2,.3,22.9,.1,44.4,27.0,1.0,4.2,5443,0
45,2013,2.0,0.0,1.7,0.0,21.8,70.5,1.0,2.9,587,0
46,2013,0.0,0.0,.6,0.0,0.6,96.6,0.0,2.2,179,0
47,2013,0.0,.3,21.9,.3,9.9,59.8,.0,7.9,709,0
48,2013,3.1,1.0,6.9,.2,15.4,57.4,.1,16.0,1328,0
49,2013,0.0,.0,4.2,0.0,0.3,85.6,.1,9.7,877,0
50,2013,3.8,.1,31.4,0.0,10.3,46.6,1.4,6.5,800,0
51,2013,1.2,0.0,10.5,1.2,11.6,75.6,0.0,0.0,86,0
52,2013,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,19,0
1,2014,0.0,0.0,27.0,0.0,5.5,57.7,.2,9.7,548,0
2,2014,34.3,.3,2.5,1.4,3.8,33.0,.3,24.5,367,0
3,2014,3.7,.0,9.2,.1,43.3,38.6,2.0,3.0,3090,0
4,2014,.3,.5,15.3,.1,9.3,64.6,0.0,9.8,743,0
5,2014,.6,1.5,11.9,.3,51.9,26.9,.1,6.8,5471,0
6,2014,1.0,.1,8.1,.1,39.5,46.6,0.0,4.6,769,0
7,2014,0.0,.2,20.0,0.0,25.5,45.3,2.8,6.3,506,0
8,2014,0.0,0.0,36.9,0.0,9.5,45.2,0.0,8.3,84,0
9,2014,0.0,0.0,91.6,0.0,7.5,.9,0.0,0.0,107,0
10,2014,.2,0.0,25.0,.2,12.6,55.5,.3,6.2,3265,2
11,2014,0.0,0.0,32.1,0.0,8.2,50.5,0.0,9.1,887,0
12,2014,0.0,5.0,0.0,20.7,3.3,11.6,1.7,57.9,121,0
13,2014,3.2,0.0,2.8,0.0,17.9,70.2,.5,5.5,218,0
14,2014,.2,.1,38.9,.1,6.6,48.6,.9,4.6,1616,0
15,2014,0.0,0.0,16.7,0.0,5.5,70.0,.1,7.6,850,0
16,2014,1.1,.6,13.2,.2,9.9,65.5,1.7,7.7,878,0
17,2014,.6,.6,14.1,0.0,10.4,65.5,0.0,8.9,695,0
18,2014,0.0,0.0,9.7,0.0,5.9,74.7,4.5,5.2,909,0
19,2014,.3,.2,38.4,0.0,3.4,53.1,.8,3.9,622,0
20,2014,.7,0.0,1.7,0.0,23.1,59.3,11.2,4.1,295,0
21,2014,0.0,.3,33.5,0.0,5.6,45.9,2.6,12.1,340,4
22,2014,.5,.7,11.4,0.0,20.7,50.9,6.3,9.5,589,0
23,2014,.4,0.0,24.1,0.0,7.0,53.1,.3,15.1,2184,0
24,2014,6.2,.8,13.4,0.0,12.9,53.7,.5,12.5,642,0
25,2014,0.0,0.0,37.6,0.0,4.8,53.2,.6,3.8,314,0
26,2014,.3,.4,18.2,.1,4.1,71.6,3.2,2.1,1291,0
27,2014,19.7,0.0,1.7,0.0,12.4,48.3,0.0,17.9,234,0
28,2014,5.6,.2,18.7,0.0,15.2,49.9,2.2,8.2,461,0
29,2014,.8,1.4,23.0,.3,21.7,49.1,0.0,3.7,729,0
30,2014,0.0,0.0,3.3,0.0,13.3,79.2,2.5,1.7,120,0
31,2014,.1,.4,39.2,0.0,20.8,30.2,2.6,6.8,1021,3
32,2014,.6,.3,0.0,.6,68.9,26.7,.3,2.5,315,0
33,2014,.3,.1,36.9,0.0,16.2,28.8,14.7,3.0,1997,0
34,2014,1.5,.1,25.1,0.0,3.3,56.0,.2,13.9,1176,0
35,2014,27.1,0.0,1.0,1.0,8.3,56.3,0.0,6.3,96,0
36,2014,.1,0.0,22.0,0.0,7.1,60.3,.3,10.3,1404,2
37,2014,7.4,.2,10.3,0.0,16.3,41.8,0.0,24.0,1382,0
38,2014,.9,.5,5.0,.5,15.0,61.7,.5,15.9,847,0
39,2014,0.0,.1,27.7,0.0,13.9,48.1,.9,9.2,1849,0
40,2014,1.0,0.0,9.4,0.0,27.7,46.5,0.0,15.3,202,0
41,2014,0.0,0.0,29.6,.2,6.0,56.1,0.0,8.0,449,0
42,2014,30.2,0.0,3.8,.6,10.7,39.6,0.0,15.1,159,0
43,2014,.3,.1,11.4,.1,8.2,73.2,0.0,6.8,1161,0
44,2014,.1,.1,21.5,.1,44.5,28.0,1.0,4.8,5221,0
45,2014,1.7,.8,2.3,.7,22.8,68.9,0.0,2.8,605,0
46,2014,0.0,0.0,0.0,0.0,3.0,90.2,0.0,6.7,164,0
47,2014,0.0,.8,23.7,.2,10.4,53.0,.2,11.7,632,0
48,2014,2.4,1.3,5.4,.3,17.8,59.0,0.0,13.7,1362,0
49,2014,0.0,0.0,3.5,0.0,.7,86.7,.5,8.6,852,0
50,2014,2.3,.5,29.4,.4,9.9,49.5,1.9,6.0,735,0
51,2014,2.7,0.0,2.7,0.0,13.3,77.3,1.3,2.7,75,0
52,2014,0.0,0.0,0.0,0.0,90.9,9.1,0.0,0.0,11,0
1,2015,0.0,.4,24.2,0.0,6.4,60.4,0.0,8.6,512,0
2,2015,37.8,0.0,2.0,0.0,3.1,33.1,1.4,22.7,357,0
3,2015,3.3,.1,8.0,.1,43.6,37.5,3.4,4.1,3236,0
4,2015,.5,.1,14.3,0.0,7.3,67.8,0.0,9.9,740,0
5,2015,.6,1.3,13.0,.1,51.9,26.9,.1,6.1,6077,2
6,2015,.9,.5,7.4,0.0,38.5,46.2,.1,6.3,820,0
7,2015,0.0,.2,19.9,0.0,24.8,45.5,3.3,6.3,573,0
8,2015,0.0,1.3,34.2,0.0,7.6,41.8,0.0,15.2,79,0
9,2015,0.0,0.0,93.4,0.0,6.6,0.0,0.0,0.0,106,0
10,2015,0.0,.1,26.1,0.0,13.5,54.0,.3,5.9,3431,0
11,2015,.1,.1,30.6,0.0,8.0,53.3,0.0,7.9,912,0
12,2015,0.0,7.4,0.0,17.0,1.1,10.2,1.1,63.1,176,0
13,2015,2.2,0.0,.4,0.0,23.3,69.1,.4,4.5,223,0
14,2015,0.0,.2,39.5,.1,7.0,47.9,.6,4.8,1788,0
15,2015,.2,0.0,13.4,.2,6.8,70.3,0.0,9.2,1150,2
16,2015,1.9,.8,10.8,.4,11.3,64.8,1.6,8.5,1017,0
17,2015,.8,.3,11.2,0.0,12.9,64.5,0.0,10.3,783,0
18,2015,0.0,0.0,8.0,0.0,6.5,75.4,4.1,6.0,961,0
19,2015,0.0,0.0,35.8,0.0,1.7,57.7,1.1,3.8,662,0
20,2015,.3,0.0,1.2,0.0,26.2,55.5,11.9,4.9,328,0
21,2015,0.0,.3,39.6,0.0,4.5,46.5,5.2,3.8,288,6
22,2015,0.0,.5,8.2,0.0,18.3,56.3,5.9,10.8,623,0
23,2015,.9,.7,23.1,0.0,9.5,54.6,.1,11.0,1766,6
24,2015,12.5,.8,15.2,0.0,9.1,48.7,.1,13.5,735,0
25,2015,.6,.3,44.2,0.0,4.2,49.4,0.0,1.3,312,0
26,2015,.3,.2,19.2,0.0,3.5,72.4,3.0,1.4,1357,0
27,2015,25.2,.3,0.0,0.0,8.1,50.3,0.0,16.1,310,0
28,2015,3.9,0.0,18.6,0.0,12.2,57.2,.9,7.1,533,0
29,2015,.4,.4,19.9,.6,26.3,43.7,.4,8.4,799,0
30,2015,1.7,0.0,3.4,0.0,7.6,81.4,1.7,4.2,118,0
31,2015,0.0,.2,37.1,0.0,20.3,31.8,1.3,9.2,1072,0
32,2015,3.4,0.0,.3,.7,60.0,29.8,0.0,5.8,295,0
33,2015,.2,.5,41.1,0.0,13.9,32.1,11.9,.3,1933,0
34,2015,1.4,.3,24.6,0.0,6.5,55.5,.1,11.7,1311,0
35,2015,27.1,0.0,1.5,0.0,9.0,47.4,.8,14.3,133,0
36,2015,0.0,.1,18.8,0.0,6.5,63.4,.1,11.0,1332,2
37,2015,7.0,.0,10.7,.0,15.7,42.2,0.0,24.3,2159,0
38,2015,.7,.2,2.5,.6,14.7,69.6,0.0,11.6,835,0
39,2015,.1,.2,25.5,0.0,11.9,54.4,1.0,6.9,1832,0
40,2015,0.0,0.0,12.8,0.0,29.9,36.5,.9,19.9,211,0
41,2015,0.0,0.0,26.1,0.0,5.0,58.8,.5,9.7,403,0
42,2015,43.0,5.0,.8,0.0,9.9,28.9,0.0,12.4,121,0
43,2015,.2,.1,12.8,.3,4.0,76.4,0.0,6.2,1113,0
44,2015,.1,.1,18.9,0.0,44.3,30.5,1.0,5.2,5457,0
45,2015,1.2,.1,2.0,.7,22.9,68.8,.1,4.2,695,0
46,2015,0.0,0.0,1.1,0.0,1.1,92.6,0.0,5.3,189,0
47,2015,.2,0.0,24.2,0.0,6.0,58.2,.2,11.2,562,0
48,2015,2.8,.7,6.2,.7,16.9,57.1,0.0,15.6,1484,0
49,2015,0.0,0.0,2.8,0.0,2.0,85.6,.2,9.4,893,0
50,2015,3.4,.6,33.6,0.0,11.4,40.5,1.7,8.6,639,4
51,2015,1.4,0.0,5.4,0.0,16.2,73.0,0.0,4.1,74,0
52,2015,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,19,0
1,2016,.2,0.0,24.3,0.0,6.8,60.4,0.0,8.3,503,0
2,2016,40.6,.3,2.2,1.3,3.8,33.2,1.9,16.6,313,0
3,2016,3.3,.1,9.1,.2,41.4,39.3,1.9,4.7,3654,0
4,2016,.3,.4,11.7,.3,9.4,64.8,0.0,13.2,758,0
5,2016,.5,1.5,12.0,.2,52.4,26.8,.2,6.5,6541,1
6,2016,.7,.4,7.0,0.0,36.4,48.5,.2,6.8,839,0
7,2016,0.0,.4,15.5,0.0,33.8,40.5,2.1,7.8,529,0
8,2016,0.0,0.0,37.4,0.0,15.2,41.4,0.0,6.1,99,0
9,2016,0.0,0.0,90.0,0.0,9.1,.9,0.0,0.0,110,0
10,2016,.1,.2,29.5,.0,13.9,48.6,.2,7.5,3573,0
