StateId,Year,Yes,No,Total,Missing
33,2014,97.8,2.2,1997,0
33,2015,98.7,1.3,1933,0
33,2016,98.6,1.4,1983,0
34,2012,100.0,0.0,1329,0
34,2013,100.0,0.0,1222,0
34,2014,97.3,2.7,1176,0
34,2015,97.3,2.7,1311,0
34,2016,97.3,2.7,1501,0
35,2012,68.4,31.6,155,0
35,2013,96.2,3.8,104,0
35,2014,100.0,0.0,96,0
35,2015,98.5,1.5,133,0
35,2016,97.0,3.0,132,0
36,2012,97.1,2.9,1249,1
36,2013,97.8,2.2,1240,4
36,2014,97.6,2.4,1400,6
36,2015,98.4,1.6,1326,8
36,2016,99.0,1.0,1435,14
37,2012,89.6,10.4,1533,0
37,2013,93.0,7.0,1286,0
37,2014,92.2,7.8,1382,0
37,2015,95.8,4.2,2159,0
37,2016,94.4,5.6,2487,0
38,2012,99.9,.1,678,5
38,2013,97.1,2.9,768,0
38,2014,95.6,4.4,847,0
38,2015,96.5,3.5,835,0
38,2016,97.0,3.0,768,0
39,2012,89.7,10.3,1878,3
39,2013,91.4,8.6,1891,1
39,2014,92.7,7.3,1848,1
39,2015,90.1,9.9,1830,2
39,2016,91.2,8.8,1916,1
40,2012,96.9,3.1,191,0
40,2013,100.0,0.0,162,0
40,2014,100.0,0.0,202,0
40,2015,99.5,.5,211,0
40,2016,99.6,.4,279,0
41,2012,89.9,10.1,776,0
41,2013,95.1,4.9,506,0
41,2014,94.4,5.6,449,0
41,2015,95.5,4.5,403,0
41,2016,97.9,2.1,433,0
42,2012,100.0,0.0,126,0
42,2013,100.0,0.0,177,0
42,2014,100.0,0.0,159,0
42,2015,100.0,0.0,121,0
42,2016,100.0,0.0,110,0
43,2012,91.0,9.0,813,0
43,2013,95.8,4.2,1159,0
43,2014,96.9,3.1,1161,0
43,2015,100.0,0.0,1113,0
43,2016,99.4,.6,1224,0
44,2012,93.2,6.8,5039,0
44,2013,93.4,6.6,5443,0
44,2014,92.7,7.3,5221,0
44,2015,92.3,7.7,5457,0
44,2016,92.1,7.9,5723,0
45,2012,98.4,1.6,562,0
45,2013,97.8,2.2,587,0
45,2014,97.7,2.3,605,0
45,2015,98.0,2.0,695,0
45,2016,98.3,1.7,632,0
46,2012,79.1,20.9,172,0
46,2013,85.5,14.5,179,0
46,2014,78.7,21.3,164,0
46,2015,82.0,18.0,189,0
46,2016,82.9,17.1,216,0
47,2012,89.2,10.8,639,0
47,2013,87.3,12.7,709,0
47,2014,91.5,8.5,632,0
47,2015,88.1,11.9,562,0
47,2016,89.5,10.5,627,0
48,2012,96.3,3.7,1227,0
48,2013,99.3,.7,1328,0
48,2014,99.1,.9,1362,0
48,2015,92.3,7.7,1484,0
48,2016,95.4,4.6,1387,0
49,2012,98.6,1.4,630,2
49,2013,99.8,.2,875,2
49,2014,99.6,.4,852,0
49,2015,100.0,0.0,891,2
49,2016,99.9,.1,940,0
50,2012,99.6,.4,761,0
50,2013,100.0,0.0,800,0
50,2014,99.7,.3,735,0
50,2015,99.2,.8,643,0
50,2016,99.7,.3,669,0
51,2012,82.7,17.3,81,0
51,2013,90.7,9.3,86,0
51,2014,86.7,13.3,75,0
51,2015,78.4,21.6,74,0
51,2016,94.4,5.6,89,0
52,2012,34.8,65.2,46,1
52,2013,22.2,77.8,18,1
52,2014,18.2,81.8,11,0
52,2015,57.9,42.1,19,0
52,2016,0.0,0.0,0,0
